_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,relevance,relevance:confidence,doc_title,passage,pid,qid,relevance_gold,statement,url
2011673248,False,finalized,3,11/15/2018 13:21:00,0,1.0,Marie Curie,"Albert Einstein reportedly remarked that she was probably the only person who could not be corrupted by fame. As one of the most famous women scientists to date, Marie Curie has become an icon in the scientific world and has received tributes from across the globe, even in the realm of pop culture. In a 2009 poll carried out by New Scientist, she was voted the ""most inspirational woman in science"".",Marie Curie#215,48,,Marie Curie was Born In Warsaw Marie Curie was Born On Date 1867-11-07 ,https://en.wikipedia.org/wiki/Marie Curie
2011673249,False,finalized,3,11/15/2018 13:23:11,0,1.0,Nicole Kidman,"He became a visiting fellow at the National Institute of Mental Health of the United States. Opposed to the war in Vietnam, Kidman's parents participated in anti-war protests while living in Washington, D.C. The family returned to Australia when Kidman was four and her mother now lives on Sydney's North Shore.",Nicole Kidman#23,25,,Australia participated In Vietnam War ,https://en.wikipedia.org/wiki/Nicole Kidman
2011673250,False,finalized,4,11/15/2018 13:26:27,5,0.7482,2012 Democratic National Convention,"Joe Biden, Vice President of the United States. Michelle Obama, First Lady of the United States. Barack Obama, President of the United States.",2012 Democratic National Convention#165,27,,Barack Obama is Married To Michelle Obama ,https://en.wikipedia.org/wiki/2012 Democratic National Convention
2011673251,False,finalized,4,11/15/2018 13:23:38,3,1.0,Aung,"Aung Pwint (born 1950), journalist. Bogyoke Aung San (1915-1947), revolutionary. Aung San Suu Kyi (born 1945), daughter of Aung San, politician.",Aung#3,24,,Aung San Suu Kyi was Born On Date 1945-06-19 ,https://en.wikipedia.org/wiki/Aung
2011673252,False,finalized,4,11/15/2018 13:24:24,3,1.0,Gravitation (disambiguation),"General relativity, the theory of gravitation published by Albert Einstein. Gravitation (book), a reference book about Einstein's theory of general relativity. Gravitation (film), a 1968 Yugoslav film.",Gravitation (disambiguation)#2,10,,Albert Einstein is Known For Special relativity Albert Einstein is Known For General relativity ,https://en.wikipedia.org/wiki/Gravitation (disambiguation)
2011673253,False,finalized,4,11/15/2018 13:23:10,3,0.5024,Ali Habib Mahmud,"He commanded 7th mechanized infantry in 1985. In 1986, Mahmud became a general. He also participated in the Gulf War as part of the international coalition to liberate Kuwait from Saddam Hussein's Iraq in 1990.",Ali Habib Mahmud#7,49,,Kuwait participated In Gulf War United States participated In Gulf War Iraq participated In Gulf War ,https://en.wikipedia.org/wiki/Ali Habib Mahmud
2011673254,False,finalized,3,11/15/2018 13:27:33,0,1.0,Joseph Stiglitz,These papers allowed Stiglitz to earn the John Bates Clark Medal in 1979. Stiglitz made early contributions to a theory of public finance stating that an optimal supply of local public goods can be funded entirely through capture of the land rents generated by those goods (when population distributions are optimal). Stiglitz dubbed this the 'Henry George theorem' in reference to the radical classical economist Henry George who famously advocated for land value tax.,Joseph Stiglitz#49,52,,Gertrude B. Elion has Won Prize Nobel Prize Joseph Stiglitz has Won Prize Nobel Prize ,https://en.wikipedia.org/wiki/Joseph Stiglitz
2011673255,False,finalized,4,11/15/2018 13:23:10,0,0.7488,Lists of protests against the Vietnam War,Minneapolis Peace Walk Committee at Loring Park. May. Anti-Vietnam war protests in England and Australia .,Lists of protests against the Vietnam War#7,25,,Australia participated In Vietnam War ,https://en.wikipedia.org/wiki/Lists of protests against the Vietnam War
2011673256,False,finalized,5,11/15/2018 13:21:51,3,0.7992,1918,"Richard D. Winters, U.S. Army officer (d. 2011). January 22 – Elmer Lach, Canadian ice hockey player (d. 2015). January 23 – Gertrude B. Elion, American scientist, recipient of the Nobel Prize in Physiology or Medicine (d. 1999).",1918#228,52,,Gertrude B. Elion has Won Prize Nobel Prize Joseph Stiglitz has Won Prize Nobel Prize ,https://en.wikipedia.org/wiki/1918
2011673257,False,finalized,3,11/15/2018 13:21:00,5,0.6667,Refugee crisis,"There were 400,000 Palestinians in Kuwait before the Gulf War.During the Gulf War, more than 200,000 Palestinians fled Kuwait during the Iraqi occupation of Kuwait due to harassment and intimidation by Iraqi security forces, in addition to getting fired from work by Iraqi authority figures in Kuwait.After the Gulf War in 1991, Kuwaiti authorities pressured nearly 200,000 Palestinians to leave Kuwait.",Refugee crisis#305,49,,Kuwait participated In Gulf War United States participated In Gulf War Iraq participated In Gulf War ,https://en.wikipedia.org/wiki/Refugee crisis
2011673258,False,finalized,4,11/15/2018 13:23:38,5,0.5,Ali Khamenei,"According to Karim Sadjadpour of the American Carnegie Endowment for International Peace, several factors have strengthened Khamenei in recent years:(1) A vast network of commissars stationed in strategic posts throughout government bureaucracies, dedicated to enforcing his authority; (2) the weak, conservative-dominated parliament, headed by Khamenei loyalist Gholam-Ali Haddad-Adel (whose daughter is married to the Leader's son); (3) the rapidly rising political and economic influence of the Islamic Revolutionary Guards, whose top leaders are directly appointed by Khamenei and have always been publicly deferential to him; (4) the political disengagement of Iran's young population ....; and (5) most significant[ly], the 2005 presidential election, which saw hardliner Mahmoud Ahmadinejad trounce Khamenei's chief rival ... Hashemi Rafsanjani ...According to Christopher Dickey, in order to consolidate his power base, Khamenei has developed close relations with the security and military establishment, while also expanding the bureaucracy inside the government and around his Beit Rahbari compound. Writing in The Telegraph, Damien McElroy and Ahmad Vahdat observed: ""The ayatollah likes to cultivate an image of austerity but receives major commissions from the Iranian oil and arms industries and there have been regular claims that he and his son have amassed a fortune running into billions of dollars."" A six-month investigation by Reuters has said that Khamenei controls a ""financial empire"" worth approximately US$95 billion that is not overseen by the Iranian Parliament, a figure much larger than the estimated wealth of the late Shah of Iran.",Ali Khamenei#147,14,,Ali Khamenei is Leader Of Iran ,https://en.wikipedia.org/wiki/Ali Khamenei
2011673259,False,finalized,5,11/15/2018 13:26:03,0,0.7992,Abdullah Bin Mohammad Bin Rashed Al Khalifa,"From 1997 to 2003 he earned a Bachelor's Degree and an MBA from Bentley University. From 2003 to 2005, during the Iraq War he was mission commander flying over Kuwait. He participated in 25 military and leadership courses in the Kingdom of Bahrain, Kuwait, the United States and the United Kingdom.",Abdullah Bin Mohammad Bin Rashed Al Khalifa#4,49,,Kuwait participated In Gulf War United States participated In Gulf War Iraq participated In Gulf War ,https://en.wikipedia.org/wiki/Abdullah Bin Mohammad Bin Rashed Al Khalifa
2011673260,False,finalized,4,11/15/2018 13:14:59,5,1.0,2016 Democratic National Convention,Former CIA Director and Secretary of Defense Leon Panetta. Second Lady of the United States Jill Biden. Vice President Joe Biden (headliner).,2016 Democratic National Convention#253,42,,Joe Biden is Married To Jill Biden ,https://en.wikipedia.org/wiki/2016 Democratic National Convention
2011673261,False,finalized,4,11/15/2018 13:14:59,0,1.0,Oxford University Ice Hockey Club,Lester B. Pearson - Canadian Prime Minister & Nobel Peace Prize Laureate. George F. Stanley- Lieutenant-Governor of New Brunswick. Danny Williams.,Oxford University Ice Hockey Club#19,52,,Gertrude B. Elion has Won Prize Nobel Prize Joseph Stiglitz has Won Prize Nobel Prize ,https://en.wikipedia.org/wiki/Oxford University Ice Hockey Club
2011673262,False,finalized,4,11/15/2018 13:20:57,5,1.0,Military history of Oceania,"The region's two biggest military powers, Australia and New Zealand, sent troops to fight in the Korean, Vietnam, Gulf and Afghanistan Wars, and Australia also participated in the Iraq War. Neither is a major military power in world terms, preferring to join with coalition operations, but both possess modern and well trained defense forces. Both have made significant contributions to international peacekeeping operations, although their focus has tended to be within Oceania.",Military history of Oceania#112,25,,Australia participated In Vietnam War ,https://en.wikipedia.org/wiki/Military history of Oceania
2011673263,False,finalized,3,11/15/2018 17:02:05,0,1.0,Arnold Schwarzenegger,"They have four children: Katherine Eunice Schwarzenegger (born December 13, 1989), Christina Maria Aurelia Schwarzenegger (born July 23, 1991), Patrick Arnold Shriver Schwarzenegger (born September 18, 1993), and Christopher Sargent Shriver Schwarzenegger (born September 27, 1997).All of their children were born in Los Angeles.The family lived in a home in the Brentwood neighborhood of Los Angeles, with vacation homes in Sun Valley, Idaho, and Hyannis Port, Massachusetts.",Arnold Schwarzenegger#437,20,,Arnold Schwarzenegger is Married To Maria Shriver ,https://en.wikipedia.org/wiki/Arnold Schwarzenegger
2011673264,False,finalized,3,11/15/2018 13:27:33,5,1.0,Benjamin (disambiguation),"Benjamin (Animal Farm), a character in George Orwell's Animal Farm.Benjamin Kirby Tennyson, the real name of a protagonist of Cartoon Network media franchise Ben 10.Benjamin, Missouri, a community in the United States.",Benjamin (disambiguation)#17,39,,George Orwell created Animal Farm ,https://en.wikipedia.org/wiki/Benjamin (disambiguation)
2011673265,False,finalized,5,11/15/2018 13:21:51,0,1.0,Rabin Deb,"China, 1985 – As the Secretary of WB DYFI, participated in Asia & Pacific Regional Festival of Students & Youth  USSR, 1988 – Visited Moscow and Tibilisi (capital of Georgia) and participated in International Youth Journal Festival ; took part in seminars to discuss participatory democracy, labour donation programme and developmental work. Cuba, 1997 – As the member of WB Legislative Assembly, represented WB, in World’s Students’ Youth Festival, inaugurated by Fidel Castro ; as the leader of the WB delegation team, participated in seminars on employment, peace and war  Bangladesh, 2003 – Represented WB Legislative Assembly in 49th Commonwealth Parliamentary Association Conference ; participated and contributed in the discussion on attacks on democracy and sovereignty  Venezuela, 2005 – Represented WB in World’s Students’ Youth Festival  China, 2006 – As Deputy Leader of Indian delegation, took part in All India Peace & Solidarity Organization (AIPSO – affiliated to World Peace Council) conference for Indo-China Friendship Year ; participated in seminars with the Foreign Minister of People’s Republic of China ; participated in the discussion arranged by Committee for Peace & Disarmament of China. Vietnam, 2007 – Visited Vietnam along with Pallab Sengupta, All India General Secretary of AIPSO, to invite Madam Binh, the living legend of Vietnam for participating in the India-Vietnam Friendship Festival in September, 2007 in India  Sri Lanka, 2008 – As Secretary, AIPSO took part in Asia-Pacific Regional Conference on Solidarity with Cuba  Vietnam, 2008 – As Deputy Leader of Indian delegtion, took part in Vietnam- India Friendship festival at Hanoi and Ho-Chi-Minh City.He also met the President of Vietnam.",Rabin Deb#30,25,,Australia participated In Vietnam War ,https://en.wikipedia.org/wiki/Rabin Deb
2011673267,False,finalized,4,11/15/2018 13:25:48,3,1.0,Prague Writers' Festival,"Nadine Gordimer (PWF 2004, Nobel Prize 1991). Harold Pinter (PWF 1999, Nobel Prize 2005). José Saramago (PWF 1994, Nobel Prize 1998).",Prague Writers' Festival#52,53,,Harold Pinter has Won Prize Nobel Prize Elfriede Jelinek has Won Prize Nobel Prize ,https://en.wikipedia.org/wiki/Prague Writers' Festival
2011673268,False,finalized,4,11/15/2018 13:26:27,5,1.0,GT,"Gay Times, a UK culture magazine for gay males, known also as GT. Gran Torino (film), a 2008 drama starring Clint Eastwood. The Grand Tour (TV series), a series shown on Amazon Prime.",GT#10,31,,Clint Eastwood acted In Gran Torino (film) ,https://en.wikipedia.org/wiki/GT
2011673269,False,finalized,4,11/15/2018 16:32:12,5,0.5,Charles-Eugène Guye,"Guye studied physics at the University of Geneva, where he received his doctorate in 1889, studying the phenomenon of optical rotatory dispersion.From 1890 to 1892 Charles-Eugène worked as a Privatdozent (lecturer) in Geneva, and from 1893 to 1900 he was a Privatdozent at Zurich Polytechnic (now the Federal Institute of Technology Zurich ETH Zurich), switching his research interests to electrical engineering.Albert Einstein was one of his students.",Charles-Eugène Guye#2,9,,Albert Einstein graduated From ETH Zurich ,https://en.wikipedia.org/wiki/Charles-Eugène Guye
2011673270,False,finalized,3,11/15/2018 13:23:11,5,1.0,Sherlock Holmes pastiches,Holmes has been an inspiration of both serious and comedy films. A series of fourteen Sherlock Holmes films starring Basil Rathbone as Sherlock Holmes and Nigel Bruce as Dr. John Watson were released between 1939 and 1946. Many are loosely based on the original stories by Sir Arthur Conan Doyle and some are original stories.,Sherlock Holmes pastiches#102,22,,Arthur Conan Doyle created Sherlock Holmes ,https://en.wikipedia.org/wiki/Sherlock Holmes pastiches
2011673271,False,finalized,5,11/15/2018 13:21:51,0,1.0,History of Microsoft,"In response, Microsoft withdrew its offer. In 2009, the opening show of the Consumer Electronics Show (CES) was hosted by Steve Ballmer for the first time. In past years, it has been hosted by Bill Gates.",History of Microsoft#184,36,,Bill Gates created Microsoft ,https://en.wikipedia.org/wiki/History of Microsoft
2011673272,False,finalized,4,11/15/2018 13:25:48,3,1.0,Scientific theory,"In 1905, Albert Einstein published the principle of special relativity, which soon became a theory.Special relativity predicted the alignment of the Newtonian principle of Galilean invariance, also termed Galilean relativity, with the electromagnetic field.By omitting from special relativity the luminiferous aether, Einstein stated that time dilation and length contraction measured in an object in relative motion is inertial—that is, the object exhibits constant velocity, which is speed with direction, when measured by its observer.",Scientific theory#84,10,,Albert Einstein is Known For Special relativity Albert Einstein is Known For General relativity ,https://en.wikipedia.org/wiki/Scientific theory
2011673273,False,finalized,4,11/15/2018 13:23:38,5,1.0,1939 in Germany,Events in the year 1939 in Germany. Head of StateAdolf Hitler (the Führer) (Nazi Party). ChancellorAdolf Hitler (Nazi Party).,1939 in Germany#0,4,,Adolf Hitler is Leader Of Germany ,https://en.wikipedia.org/wiki/1939 in Germany
2011673274,False,finalized,4,11/15/2018 13:13:05,3,0.5,Gates (surname),"Gates is a surname, and may refer to: The Gates family of Seattle, Washington. Members of this family include:  Bill Gates (born 1955), Chairman of Microsoft. Melinda Gates (born 1964), American philanthropist, wife of Bill GatesThe Bill & Melinda Gates Foundation, founded by Bill and Melinda Gates.",Gates (surname)#0,36,,Bill Gates created Microsoft ,https://en.wikipedia.org/wiki/Gates (surname)
2011673275,False,finalized,4,11/15/2018 17:02:01,5,1.0,Manor Farm,"Manor Farm, Diss, a property owned by the Landmark Trust.Manor Farm, Ruislip.LiteratureManor Farm is the setting of George Orwell's novel Animal Farm.",Manor Farm#3,39,,George Orwell created Animal Farm ,https://en.wikipedia.org/wiki/Manor Farm
2011673276,False,finalized,4,11/15/2018 17:02:01,0,1.0,Great Blizzard of 1899,"Baltimore: tied with February 9, 1934, January 29, 1963, January 17, 1982, and January 22, 1984, for all-time record. College Park: . Frederick: .",Great Blizzard of 1899#33,46,,John F. Kennedy died On Date 1963-11-22 John F. Kennedy died In Dallas ,https://en.wikipedia.org/wiki/Great Blizzard of 1899
2011673277,False,finalized,5,11/15/2018 13:23:36,0,1.0,Timeline of the presidency of Bill Clinton,July 6 – President Clinton delivers an address at Georgetown University in Gaston Hall during the morning. July 6 – President Clinton addresses the National Education Association via satellite during the afternoon. President Clinton's remarks concern the wage gap between high school and college graduates and general education reform.,Timeline of the presidency of Bill Clinton#548,29,,Bill Clinton graduated From Georgetown University ,https://en.wikipedia.org/wiki/Timeline of the presidency of Bill Clinton
2011673278,False,finalized,3,11/15/2018 13:07:17,3,0.3333,Abraham Lincoln (disambiguation),"Abraham Lincoln (1809–1865) was the 16th President of the United States.Abraham Lincoln may also refer to:Abraham Lincoln (captain) (1744–1786), grandfather of President Lincoln.Abe Lincoln (musician) (1907–2000), American Dixieland jazz trombonist.",Abraham Lincoln (disambiguation)#0,1,,Abraham Lincoln died On Date 1865-04-15 Abraham Lincoln was Born On Date 1809-02-12 ,https://en.wikipedia.org/wiki/Abraham Lincoln (disambiguation)
2011673279,False,finalized,5,11/15/2018 13:28:05,3,1.0,Harold Pinter and politics,"Swedish Academy. and for ""Harold Pinter, Nobel Prize in Literature 2005."" In """", The Nobel Prize in Literature 2005.",Harold Pinter and politics#124,53,,Harold Pinter has Won Prize Nobel Prize Elfriede Jelinek has Won Prize Nobel Prize ,https://en.wikipedia.org/wiki/Harold Pinter and politics
2011673280,False,finalized,4,11/15/2018 17:02:01,3,1.0,2007 in Afghanistan,"February 26 - United Kingdom Secretary of State for Defence Des Browne announces the deployment of an additional 1,400 troops to Afghanistan.March 1 - Pakistani authorities capture Mullah Obaidullah Akhund, a former Defense Minister of Afghanistan under the Taliban.March 4 - War in Afghanistan (2001-14) Taliban insurgency: Two British soldiers serving with the NATO International Security Assistance Force are killed in Helmand province during clashes with Taliban forces.",2007 in Afghanistan#17,50,,France participated In War in Afghanistan Germany participated In War in Afghanistan United States participated In War in Afghanistan Taliban participated In War in Afghanistan ,https://en.wikipedia.org/wiki/2007 in Afghanistan
2011673281,False,finalized,3,11/15/2018 13:24:24,0,1.0,Havana,"The narrow streets of Old Havana contain many buildings, accounting for perhaps as many as one-third of the approximately 3,000 buildings found in Old Havana. Old Havana is the ancient city formed from the port, the official center and the Plaza de Armas. Alejo Carpentier called Old Havana the place ""de las columnas"" (of the columns).",Havana#195,37,,Cuba has Capital Havana ,https://en.wikipedia.org/wiki/Havana
2011673282,False,finalized,5,11/15/2018 13:26:03,0,0.5985,Arnold Schwarzenegger,"Schwarzenegger supported the 2003 invasion of Iraq. Schwarzenegger also expressed support for the 2011 military intervention in Libya. In 2012, Schwarzenegger helped to found the Schwarzenegger Institute for State and Global Policy, which is a part of the USC Sol Price School of Public Policy at the University of Southern California.",Arnold Schwarzenegger#530,21,,Arnold Schwarzenegger is Politician Of California ,https://en.wikipedia.org/wiki/Arnold Schwarzenegger
2011673283,False,finalized,3,11/15/2018 17:02:05,0,1.0,"Wyoming County, Pennsylvania","Robert Casey Jr., Democrat. Pat Toomey, Republican. 275px|thumb|right|Map of Wyoming County, Pennsylvania School Districts  Elk Lake School District (also in Susquehanna County).","Wyoming County, Pennsylvania#46",43,,Joe Biden was Born In Scranton Pennsylvania ,"https://en.wikipedia.org/wiki/Wyoming County, Pennsylvania"
2011673284,False,finalized,3,11/15/2018 13:24:24,3,0.6645,Einstein family,"After their wedding, the young couple lived in Ulm, where Hermann became joint partner in the bed feathers shop of his cousins, Moses and Hermann Levi. In Ulm, their son Albert was born on 14 March 1879. On the initiative of Hermann's brother Jakob, the family moved to Munich in the summer of 1880.",Einstein family#55,7,,Albert Einstein was Born In Ulm Albert Einstein was Born On Date 1879 ,https://en.wikipedia.org/wiki/Einstein family
2011673286,False,finalized,4,11/15/2018 13:14:21,0,1.0,Outline of the Czech Republic,Capital punishment in the Czech Republic. Constitution of the Czech Republic. Crime in the Czech Republic.,Outline of the Czech Republic#126,38,,Czech Republic has Capital Prague ,https://en.wikipedia.org/wiki/Outline of the Czech Republic
2011673288,False,finalized,3,11/15/2018 13:21:00,3,0.6667,Gandhi Foundation,"1993 The Dalai Lama (Nobel Peace Prize 1984). ""Compassion: The Basis of Nonviolence"". 1996 Donald Soper.",Gandhi Foundation#34,51,,Henry Kissinger has Won Prize Nobel Peace Prize Le Duc Tho has Won Prize Nobel Peace Prize Dalai Lama has Won Prize Nobel Peace Prize Kofi Annan has Won Prize Nobel Peace Prize ,https://en.wikipedia.org/wiki/Gandhi Foundation
2011673289,False,finalized,5,11/15/2018 13:28:05,0,1.0,Aung San Suu Kyi,"In April 2012, British Prime Minister David Cameron became the first leader of a major world power to visit Aung San Suu Kyi and the first British prime minister to visit Burma since the 1950s. In his visit, Cameron invited San Suu Kyi to Britain where she would be able to visit her 'beloved' Oxford, an invitation which she later accepted. She visited Britain on 19 June 2012.",Aung San Suu Kyi#291,24,,Aung San Suu Kyi was Born On Date 1945-06-19 ,https://en.wikipedia.org/wiki/Aung San Suu Kyi
2011673290,False,finalized,4,11/15/2018 16:32:12,5,1.0,Gulag,"Victor Herman's book Coming out of the Ice: An Unexpected Life.Herman experienced firsthand many places, prisons, and experiences that Aleksandr Solzhenitsyn was able to reference in only passing or through brief second hand accounts.Aleksandr Solzhenitsyn's book The Gulag Archipelago was not the first literary work about labor camps.",Gulag#389,15,,Aleksandr Solzhenitsyn created The Gulag Archipelago ,https://en.wikipedia.org/wiki/Gulag
2011673291,False,finalized,4,11/15/2018 13:20:57,0,1.0,Allianz,"In India Allianz primarily operates through Bajaj Allianz Life Insurance Company & Bajaj Allianz General Insurance Company Limited, a joint venture between Allianz and Bajaj Finserv Limited. Bajaj Allianz has around 1,200 branches across India and offers services including unit-linked, traditional, health, child and pension policies. Allianz started its operations in Indonesia with a representative office in 1981.",Allianz#82,13,,Allianz Arena is Located In Munich ,https://en.wikipedia.org/wiki/Allianz
2011673292,False,finalized,5,11/15/2018 13:25:25,5,0.8,Butyrka prison,"Kazys Skučas, Lithuanian politician and general of the Lithuanian Army. Aleksandr Solzhenitsyn, Nobel Prize laureate, writer and dissident; wrote The Gulag Archipelago and One Day in the Life of Ivan Denisovich. Elena Stasova, Russian communist.",Butyrka prison#60,16,,Aleksandr Solzhenitsyn has Won Prize Nobel Prize ,https://en.wikipedia.org/wiki/Butyrka prison
2011673293,False,finalized,4,11/15/2018 13:23:10,3,0.7488,Aleksandra Sokolovskaya,"They had two daughters, Zinaida Volkova (1901-1933) and Nina Nevelson (1902-1928), both of whom predeceased their parents. When Trotsky considered escaping from Siberia (alone, of necessity) in the summer of 1902, Sokolovskaya fully endorsed his plan. After Trotsky met Natalia Sedova, his future second wife, in Paris in late 1902, his first marriage disintegrated, although the two maintained a friendly relationship until the end.",Aleksandra Sokolovskaya#4,56,,Leon Trotsky is Married To Aleksandra Sokolovskaya Leon Trotsky is Married To Natalia Sedova ,https://en.wikipedia.org/wiki/Aleksandra Sokolovskaya
2011673294,False,finalized,3,11/15/2018 13:07:17,0,0.6667,Abraham (given name),"Abraham Lansing (1835–1899), American lawyer and politician in New York. Abraham Lincoln (1809–1865), U.S. President. Abraham Maslow (1908-1970), American psychologist who created Maslow's hierarchy of needs.",Abraham (given name)#56,1,,Abraham Lincoln died On Date 1865-04-15 Abraham Lincoln was Born On Date 1809-02-12 ,https://en.wikipedia.org/wiki/Abraham (given name)
2011673296,False,finalized,4,11/15/2018 13:14:21,0,1.0,Albert Einstein,"Following the discovery of the recession of the nebulae by Edwin Hubble in 1929, Einstein abandoned his static model of the universe, and proposed two dynamic models of the cosmos, The Friedmann-Einstein universe of 1931 and the Einstein–de Sitter universe of 1932. In each of these models, Einstein discarded the cosmological constant, claiming that it was ""in any case theoretically unsatisfactory"". In many Einstein biographies, it is claimed that Einstein referred to the cosmological constant in later years as his ""biggest blunder"".",Albert Einstein#317,6,,Albert Einstein was Born On Date 1879-03-14 ,https://en.wikipedia.org/wiki/Albert Einstein
2011673297,False,finalized,3,11/15/2018 13:14:52,0,1.0,New Zealand–Vietnam relations,Direct flights between the two nations started in 2016. New Zealand participated in the Vietnam War. The country sent 3000 military and civilian personnel.,New Zealand–Vietnam relations#7,25,,Australia participated In Vietnam War ,https://en.wikipedia.org/wiki/New Zealand–Vietnam relations
2011673298,False,finalized,3,11/15/2018 16:30:20,0,0.6646,Abdul Qadeer Khan,"In a television speech in 2007, Prime minister Shaukat Aziz paid tribute to Abdul Qadeer Khan and while commenting on last part of his speech, Aziz stressed: ""(...)....The services of (nuclear) scientist... Dr. (Abdul) Qadeer Khan are ""unforgettable"" for the country. . (.",Abdul Qadeer Khan#179,2,,Abdul Qadeer Khan is Citizen Of Pakistan ,https://en.wikipedia.org/wiki/Abdul Qadeer Khan
2011673299,False,finalized,3,11/15/2018 13:17:38,5,1.0,I Love the '80s (U.S. TV series),"Crocodile Dundee. Celebrity marriages (specifically Tommy Lee and Heather Locklear, Arnold Schwarzenegger and Maria Shriver and Tatum O'Neal and John McEnroe). Whitney Houston.",I Love the '80s (U.S. TV series)#154,20,,Arnold Schwarzenegger is Married To Maria Shriver ,https://en.wikipedia.org/wiki/I Love the '80s (U.S. TV series)
2011673300,False,finalized,4,11/15/2018 13:14:59,3,0.5048,Special relativity,"A complete online book on relativity with an extensive bibliography. An introduction to special relativity at the undergraduate level. , by Albert Einstein.",Special relativity#335,11,,Albert Einstein is Known For Special relativity ,https://en.wikipedia.org/wiki/Special relativity
